real,predicted,laptime_s,tyre_life,position,compound,ers_status,superclipping_duration,race,lap,race_progress
13.423999999999992,4.018200000000003,90.208,30.0,6,HARD,CRÍTICO,7.4,Dutch Grand Prix,47,0.6527777777777778
0.1599999999999966,-0.1900700000000005,108.303,35.0,3,HARD,NORMAL,2.34,Azerbaijan Grand Prix,48,0.6666666666666666
3.1500000000000057,-0.3244099999999963,74.223,27.0,5,MEDIUM,CRÍTICO,7.28,Austrian Grand Prix,45,0.5921052631578947
-2.8059999999999974,-2.7221649999999986,95.69,3.0,6,HARD,ALERTA,4.88,Bahrain Grand Prix,36,0.4615384615384615
-0.0969999999999942,0.2313250000000059,98.399,3.0,12,SOFT,ALERTA,4.36,Bahrain Grand Prix,3,0.0422535211267605
16.244499999999988,13.584319999999998,119.72,5.0,2,HARD,NORMAL,1.28,Pre-Season Test,18,0.25
10.884,10.128310000000003,105.061,19.0,6,INTERMEDIATE,NORMAL,1.7,British Grand Prix,30,0.4166666666666667
10.395500000000013,12.305370000000021,91.86,8.0,19,MEDIUM,NORMAL,2.56,Spanish Grand Prix,20,0.2816901408450704
-3.5390000000000015,-3.466219999999997,80.826,44.0,4,HARD,CRÍTICO,5.29,Australian Grand Prix,51,0.8793103448275862
-2.016999999999996,-1.9527249999999987,99.528,15.0,7,SOFT,NORMAL,2.97,United States Grand Prix,44,0.5789473684210527
1.3940000000000055,1.567825000000001,91.287,9.0,9,MEDIUM,ALERTA,4.1,Abu Dhabi Grand Prix,9,0.1551724137931034
-0.9549999999999983,-0.4539450000000055,97.174,17.0,10,HARD,CRÍTICO,7.07,Las Vegas Grand Prix,40,0.5263157894736842
4.2960000000000065,3.8294700000000024,88.558,27.0,16,HARD,ALERTA,3.77,Hungarian Grand Prix,38,0.5507246376811594
31.555000000000007,32.71191999999997,115.92,4.0,16,HARD,NORMAL,1.1,Australian Grand Prix,3,0.0416666666666666
-1.8599999999999994,-1.3195599999999956,77.241,13.0,8,MEDIUM,CRÍTICO,6.55,Monaco Grand Prix,13,0.1688311688311688
1.4660000000000082,2.5322650000000015,72.539,22.0,8,HARD,CRÍTICO,6.93,Austrian Grand Prix,22,0.3055555555555556
-1.218999999999994,-1.0811750000000029,106.924,11.0,11,HARD,NORMAL,1.32,Azerbaijan Grand Prix,11,0.1447368421052631
-0.789999999999992,-0.9434199999999966,97.706,14.0,11,SOFT,ALERTA,4.96,Bahrain Grand Prix,51,0.8947368421052632
-3.8170000000000073,-3.074715000000002,108.398,14.0,14,HARD,NORMAL,1.86,Belgian Grand Prix,42,0.5454545454545454
1.44850000000001,2.34151000000001,82.913,16.0,12,MEDIUM,ALERTA,4.79,Spanish Grand Prix,16,0.2461538461538461
-0.15800000000000125,-0.0788599999999954,99.725,21.0,9,HARD,NORMAL,1.87,French Grand Prix,39,0.5416666666666666
-2.215999999999994,-1.926114999999994,81.322,5.0,15,MEDIUM,CRÍTICO,6.89,Mexico City Grand Prix,53,0.7464788732394366
0.19899999999999807,-1.2598299999999987,83.737,15.0,6,SOFT,NORMAL,2.05,Mexico City Grand Prix,60,0.7894736842105263
1.8119999999999976,1.5723450000000019,83.939,2.0,18,HARD,CRÍTICO,6.25,Emilia Romagna Grand Prix,2,0.0263157894736842
-0.5609999999999928,-0.43138999999999483,76.161,22.0,9,MEDIUM,CRÍTICO,6.88,São Paulo Grand Prix,22,0.2894736842105263
0.30700000000000216,0.5211000000000041,83.845,25.0,18,SOFT,NORMAL,2.43,Mexico City Grand Prix,60,0.8333333333333334
17.251999999999995,12.221775000000003,96.353,5.0,16,HARD,NORMAL,1.12,Monaco Grand Prix,4,0.0526315789473684
2.747,5.512664999999993,81.251,9.0,7,HARD,CRÍTICO,7.02,Canadian Grand Prix,52,0.6842105263157895
-0.5640000000000072,-0.4003550000000044,97.565,6.0,5,MEDIUM,NORMAL,1.22,Las Vegas Grand Prix,6,0.0779220779220779
-1.429000000000002,-1.4623500000000038,92.748,12.0,13,MEDIUM,NORMAL,1.5,British Grand Prix,12,0.1578947368421052
-1.9220000000000113,-1.8885200000000066,85.49,21.0,10,MEDIUM,NORMAL,2.2,Qatar Grand Prix,45,0.5921052631578947
1.0940000000000083,0.7385500000000033,99.59,5.0,6,SOFT,CRÍTICO,5.53,Bahrain Grand Prix,2,0.0350877192982456
1.7505000000000166,1.0696550000000102,83.215,17.0,8,SOFT,ALERTA,3.73,Spanish Grand Prix,24,0.3333333333333333
-1.774000000000001,-1.3283850000000006,82.488,33.0,12,HARD,CRÍTICO,7.53,Hungarian Grand Prix,48,0.631578947368421
10.485,10.34506999999999,104.662,14.0,14,INTERMEDIATE,NORMAL,1.43,British Grand Prix,25,0.3289473684210526
4.842500000000015,0.9030300000000083,86.307,22.0,7,SOFT,NORMAL,2.43,Spanish Grand Prix,19,0.2467532467532467
-4.9765000000000015,-3.629145000000003,92.679,4.0,7,HARD,CRÍTICO,6.13,Japanese Grand Prix,25,0.3205128205128205
5.216999999999999,5.60686999999999,82.001,13.0,6,INTERMEDIATE,CRÍTICO,5.54,Dutch Grand Prix,71,0.9861111111111112
-1.0259999999999962,-1.0819600000000031,83.236,26.0,7,MEDIUM,NORMAL,1.77,Hungarian Grand Prix,25,0.3289473684210526
-0.3199999999999932,-0.31452499999999634,83.218,6.0,2,MEDIUM,CRÍTICO,6.4,Mexico City Grand Prix,6,0.0833333333333333
-0.855000000000004,-0.4275700000000027,77.649,18.0,4,HARD,CRÍTICO,6.55,Canadian Grand Prix,37,0.5138888888888888
17.864500000000007,17.894425,117.611,13.0,10,HARD,NORMAL,1.44,Chinese Grand Prix,21,0.2957746478873239
-1.4435000000000002,-1.4595699999999996,84.649,12.0,17,HARD,NORMAL,1.45,Italian Grand Prix,11,0.1428571428571428
0.39500000000001023,1.3255450000000084,71.468,26.0,8,HARD,CRÍTICO,7.18,Austrian Grand Prix,54,0.7012987012987013
0.633499999999998,0.5680450000000006,100.38,21.0,6,HARD,NORMAL,1.96,Chinese Grand Prix,44,0.5641025641025641
0.5229999999999961,0.5674949999999959,98.652,23.0,9,HARD,ALERTA,4.44,Las Vegas Grand Prix,39,0.78
-2.0219999999999914,-1.4621049999999973,81.516,23.0,1,MEDIUM,NORMAL,1.97,Mexico City Grand Prix,23,0.2948717948717949
0.21399999999999864,-0.05260999999999712,90.107,5.0,12,HARD,NORMAL,2.47,Abu Dhabi Grand Prix,20,0.2777777777777778
0.29649999999999466,0.5147099999999947,86.389,21.0,6,HARD,ALERTA,4.66,Italian Grand Prix,33,0.6470588235294118
-0.4194999999999993,-0.25034500000000504,99.102,15.0,10,MEDIUM,NORMAL,1.56,Singapore Grand Prix,15,0.2083333333333333
26.653999999999996,2.754874999999999,103.438,24.0,9,HARD,NORMAL,1.66,Dutch Grand Prix,24,0.3116883116883117
-0.38649999999999807,0.9113999999999995,85.706,10.0,15,SOFT,ALERTA,3.86,Italian Grand Prix,45,0.6428571428571429
-1.6119999999999948,-1.1909749999999946,75.11,14.0,12,MEDIUM,CRÍTICO,6.71,São Paulo Grand Prix,26,0.3376623376623376
11.965000000000003,15.218965000000011,96.33,1.0,8,INTERMEDIATE,ALERTA,4.08,Australian Grand Prix,45,0.5921052631578947
-3.0109999999999957,-2.444319999999999,81.354,10.0,17,HARD,CRÍTICO,7.15,Australian Grand Prix,45,0.6338028169014085
41.913,35.55723499999999,143.458,2.0,15,MEDIUM,NORMAL,1.22,United States Grand Prix,20,0.2777777777777778
-1.8520000000000039,-1.708290000000007,74.932,29.0,3,MEDIUM,CRÍTICO,5.44,Dutch Grand Prix,52,0.6666666666666666
-0.5189999999999912,-0.628294999999992,92.813,7.0,1,HARD,NORMAL,1.49,Miami Grand Prix,33,0.4583333333333333
4.123000000000005,4.9673750000000005,83.224,6.0,8,HARD,CRÍTICO,6.32,Monaco Grand Prix,6,0.0779220779220779
-0.3684999999999974,0.24161499999999875,99.153,27.0,6,MEDIUM,ALERTA,4.63,Singapore Grand Prix,27,0.3461538461538461
-1.921999999999997,-1.3972399999999987,97.961,11.0,2,HARD,NORMAL,1.55,French Grand Prix,29,0.4027777777777778
-0.17499999999999716,-0.35633500000000057,78.926,23.0,14,HARD,ALERTA,4.17,Monaco Grand Prix,23,0.323943661971831
1.0575000000000188,1.2493850000000153,82.522,17.0,13,SOFT,CRÍTICO,6.91,Spanish Grand Prix,23,0.3026315789473684
1.730000000000004,1.9331900000000002,91.623,22.0,3,HARD,ALERTA,4.35,Abu Dhabi Grand Prix,21,0.3620689655172414
17.355000000000004,17.557980000000015,96.456,12.0,6,WET,NORMAL,1.42,Monaco Grand Prix,12,0.1666666666666666
-0.8380000000000081,-1.011835000000002,86.574,19.0,3,MEDIUM,CRÍTICO,6.86,Qatar Grand Prix,26,0.3466666666666667
-0.4300000000000068,-0.17609500000000267,78.074,26.0,8,HARD,ALERTA,4.57,Canadian Grand Prix,26,0.3714285714285714
-2.3029999999999973,-1.4920449999999983,92.062,5.0,4,SOFT,ALERTA,4.43,Pre-Season Track Session,44,0.6111111111111112
47.14800000000001,46.771840000000005,145.086,11.0,7,HARD,ALERTA,4.62,Pre-Season Testing,37,0.7115384615384616
-1.6859999999999928,0.3443749999999996,81.852,10.0,2,MEDIUM,ALERTA,4.55,Mexico City Grand Prix,40,0.5633802816901409
-0.14500000000001023,0.3196149999999966,94.032,8.0,12,SOFT,CRÍTICO,5.36,British Grand Prix,8,0.8888888888888888
